time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-11,7.793333333333333,25.863333333333333,28.29,56.95333333333333,15.166666666666666,24.163333333333334,62.483333333333334,9.809999999999999,7.066666666666666,9.956666666666667,2.8833333333333333,8.203333333333333,45.693333333333335,36.55,46.08,95.67333333333333,2.603333333333333,9.95,6.656666666666667,10.200000000000001,11.11,6.743333333333333,38.39,61.379999999999995,4.6899999999999995,101.89999999999999,145.5,78.11,6.943333333333333,33.56666666666666
2020-01-12,7.816666666666666,25.956666666666667,28.27,57.38666666666667,15.323333333333334,24.146666666666665,62.416666666666664,9.84,7.073333333333333,9.963333333333333,2.9066666666666667,8.216666666666667,45.666666666666664,36.53,46.050000000000004,96.57666666666667,2.6566666666666667,9.95,6.693333333333333,10.25,11.07,6.776666666666666,38.55,61.82,4.7,101.84,145.70000000000002,77.89,6.926666666666667,33.583333333333336
2020-01-13,7.84,26.05,28.25,57.82,15.48,24.13,62.35,9.87,7.08,9.97,2.93,8.23,45.64,36.51,46.02,97.48,2.71,9.95,6.73,10.3,11.03,6.81,38.71,62.26,4.71,101.78,145.9,77.67,6.91,33.6
2020-01-14,7.91,26.52,28.48,56.52,15.48,24.13,62.48,9.87,7.07,10.01,2.89,8.23,45.8,36.41,45.69,96.85,2.75,9.95,6.75,10.3,11.1,6.86,38.75,63.44,4.77,101.6,145.8,77.47,6.92,33.75
2020-01-15,8.01,26.24,28.48,56.78,15.51,24.05,61.3,9.87,7.08,10.3,2.89,8.31,45.32,36.38,45.28,97.27,2.75,9.95,6.76,10.2,11.06,6.71,38.62,63.22,4.8,101.6,145.3,77.54,7.09,33.2
2020-01-16,8.05,27.08,29.11,57.21,15.78,24.13,61.23,9.61,7.09,10.32,2.89,8.33,45.48,36.44,45.69,97.27,2.86,9.95,6.8,10.3,11.1,6.92,38.66,63.3,4.8,101.6,145.8,77.54,7.26,32.75
2020-01-17,8.19,26.42,30.31,57.12,16.41,24.13,61.03,9.87,7.31,10.3,2.93,8.48,44.51,36.92,46.35,97.27,2.82,9.95,7.02,10.4,11.3,6.86,38.93,63.37,4.8,101.69,146.0,77.93,7.27,32.5
2020-01-18,8.2,26.42,30.326666666666664,56.946666666666665,16.443333333333335,24.16,61.07333333333333,9.959999999999999,7.273333333333333,10.273333333333333,2.93,8.473333333333334,43.97,36.93,46.27,97.27,2.8066666666666666,9.95,7.02,10.433333333333334,11.283333333333333,6.7,39.51,63.29666666666667,4.8,101.66,146.33333333333334,78.06333333333333,7.276666666666666,32.28333333333333
2020-01-19,8.21,26.42,30.343333333333334,56.77333333333333,16.476666666666667,24.189999999999998,61.11666666666667,10.05,7.236666666666666,10.246666666666668,2.93,8.466666666666667,43.43,36.940000000000005,46.19,97.27,2.793333333333333,9.95,7.02,10.466666666666667,11.266666666666667,6.54,40.09,63.22333333333333,4.8,101.63,146.66666666666666,78.19666666666667,7.283333333333333,32.06666666666667
2020-01-20,8.22,26.42,30.36,56.6,16.51,24.22,61.16,10.14,7.2,10.22,2.93,8.46,42.89,36.95,46.11,97.27,2.78,9.95,7.02,10.5,11.25,6.38,40.67,63.15,4.8,101.6,147.0,78.33,7.29,31.85
2020-01-21,8.39,27.45,30.42,56.69,16.75,23.5,61.49,10.23,7.22,10.57,3.01,8.54,43.78,37.88,46.6,97.27,2.75,9.95,7.04,10.7,11.35,6.65,40.71,63.37,4.88,101.6,146.5,78.46,7.58,32.0
2020-01-22,8.39,27.17,30.71,56.69,16.71,23.16,62.09,10.23,7.3,10.7,3.01,8.66,43.13,37.91,47.1,96.48,2.86,9.95,7.08,10.75,11.61,6.75,40.49,64.33,4.88,101.51,146.5,80.05,7.74,32.3
2020-01-23,8.342500000000001,26.96,30.58125,56.396249999999995,16.622500000000002,23.1175,61.8175,10.2075,7.2825,10.6525,3.0,8.60375,42.79625,37.69,46.945,95.79625,2.86,9.95,7.03125,10.68125,11.5375,6.745,40.158750000000005,64.19125,4.86625,101.2775,145.6875,79.6525,7.70875,32.099999999999994
2020-01-24,8.295,26.75,30.4525,56.1025,16.535,23.075,61.545,10.185,7.265,10.605,2.9899999999999998,8.5475,42.462500000000006,37.47,46.79,95.11250000000001,2.86,9.95,6.9825,10.6125,11.465,6.74,39.8275,64.0525,4.8525,101.045,144.875,79.255,7.6775,31.9
2020-01-25,8.2475,26.54,30.32375,55.80875,16.4475,23.0325,61.2725,10.162500000000001,7.2475,10.5575,2.98,8.49125,42.128750000000004,37.25,46.635,94.42875000000001,2.86,9.95,6.93375,10.54375,11.3925,6.735,39.49625,63.91375,4.83875,100.8125,144.0625,78.8575,7.64625,31.7
2020-01-26,8.2,26.33,30.195,55.515,16.36,22.990000000000002,61.0,10.14,7.23,10.51,2.9699999999999998,8.435,41.795,37.03,46.480000000000004,93.745,2.86,9.95,6.885,10.475,11.32,6.73,39.165000000000006,63.775,4.824999999999999,100.58000000000001,143.25,78.46000000000001,7.615,31.5
2020-01-27,8.1525,26.12,30.06625,55.22125,16.2725,22.9475,60.7275,10.1175,7.2125,10.4625,2.96,8.37875,41.46125,36.809999999999995,46.325,93.06125,2.86,9.95,6.836250000000001,10.40625,11.247499999999999,6.725,38.83375,63.63625,4.811249999999999,100.34750000000001,142.4375,78.0625,7.58375,31.299999999999997
2020-01-28,8.105,25.91,29.9375,54.9275,16.185000000000002,22.905,60.455,10.095,7.195,10.415,2.95,8.322500000000002,41.1275,36.589999999999996,46.17,92.3775,2.86,9.95,6.7875000000000005,10.337499999999999,11.174999999999999,6.72,38.502500000000005,63.4975,4.797499999999999,100.11500000000001,141.625,77.665,7.5525,31.099999999999998
2020-01-29,8.0575,25.7,29.80875,54.633750000000006,16.0975,22.8625,60.1825,10.072500000000002,7.1775,10.3675,2.94,8.266250000000001,40.79375,36.37,46.015,91.69375000000001,2.86,9.95,6.7387500000000005,10.268749999999999,11.1025,6.715,38.17125,63.35875,4.7837499999999995,99.88250000000001,140.8125,77.2675,7.52125,30.9
2020-01-30,8.01,25.49,29.68,54.34,16.01,22.82,59.91,10.05,7.16,10.32,2.93,8.21,40.46,36.15,45.86,91.01,2.86,9.95,6.69,10.2,11.03,6.71,37.84,63.22,4.77,99.65,140.0,76.87,7.49,30.7
2020-01-31,7.91,25.95,29.39,51.13,16.28,22.02,56.62,9.61,6.66,9.97,2.82,8.06,40.46,35.35,43.87,85.16,2.86,9.95,6.38,10.2,10.47,6.36,38.14,64.18,4.71,100.98,130.2,71.78,7.53,30.05
2020-02-01,7.773333333333333,24.703333333333333,28.706666666666667,49.940000000000005,16.023333333333333,21.596666666666668,55.43666666666667,9.223333333333333,6.62,9.776666666666667,2.7666666666666666,7.890000000000001,39.54333333333334,34.656666666666666,42.85,84.21666666666667,2.8466666666666667,9.95,6.286666666666666,10.073333333333332,10.27,6.3100000000000005,37.46,62.92666666666667,4.663333333333333,100.59333333333333,127.16666666666666,70.12666666666667,7.3933333333333335,29.35
2020-02-02,7.636666666666667,23.456666666666667,28.023333333333333,48.75,15.766666666666667,21.173333333333332,54.25333333333333,8.836666666666666,6.58,9.583333333333334,2.7133333333333334,7.72,38.626666666666665,33.96333333333334,41.83,83.27333333333333,2.833333333333333,9.95,6.193333333333333,9.946666666666667,10.07,6.26,36.78,61.67333333333334,4.616666666666667,100.20666666666666,124.13333333333333,68.47333333333333,7.256666666666667,28.65
2020-02-03,7.5,22.21,27.34,47.56,15.51,20.75,53.07,8.45,6.54,9.39,2.66,7.55,37.71,33.27,40.81,82.33,2.82,9.95,6.1,9.82,9.87,6.21,36.1,60.42,4.57,99.82,121.1,66.82,7.12,27.95
2020-02-04,7.77,23.05,30.59,47.91,16.91,21.59,53.99,9.07,6.88,9.97,2.78,7.81,40.06,34.04,41.39,83.49,3.09,9.95,6.21,10.1,10.28,6.52,38.14,62.63,4.66,99.38,125.4,68.87,7.54,28.7
2020-02-05,7.91,22.39,30.53,48.52,17.72,22.02,53.07,9.07,6.98,10.01,2.93,8.15,39.81,34.55,42.05,80.99,3.18,9.95,6.25,10.25,10.45,6.64,38.62,62.93,4.77,100.45,126.8,68.34,7.96,28.8
2020-02-06,7.94,24.46,30.25,49.65,17.58,21.93,53.72,9.25,7.26,10.06,2.93,8.1,38.44,34.55,42.38,79.03,3.46,9.95,6.25,10.3,10.43,6.65,38.62,63.37,4.77,100.27,126.3,70.06,7.9,28.8
2020-02-07,8.15,25.21,29.45,50.95,17.78,22.35,55.96,9.52,7.58,10.01,2.93,8.29,39.49,34.49,42.79,79.74,3.32,9.95,6.47,10.95,10.62,6.62,38.71,63.96,4.82,99.56,127.4,71.18,8.35,30.8
2020-02-08,8.126666666666667,24.77,28.973333333333333,50.54333333333334,17.68,22.253333333333334,55.74,9.459999999999999,7.543333333333333,9.976666666666667,2.9433333333333334,8.229999999999999,39.49,34.27666666666667,42.516666666666666,80.29666666666667,3.2733333333333334,9.95,6.383333333333333,10.9,10.58,6.61,38.63666666666667,63.71333333333333,4.783333333333333,99.85666666666667,127.86666666666667,71.11666666666667,8.316666666666666,30.866666666666667
