time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-12,7.933333333333334,26.766666666666666,29.486666666666668,58.34,16.01,24.416666666666668,63.163333333333334,10.14,7.2299999999999995,10.12,2.97,8.376666666666667,46.37,36.92333333333333,46.60333333333334,98.12,2.7966666666666664,9.95,6.82,10.533333333333333,11.286666666666667,6.88,39.14666666666667,63.49333333333333,4.803333333333334,102.28,146.43333333333334,78.77333333333334,7.1066666666666665,34.03333333333333
2020-01-13,7.91,27.08,29.39,58.25,16.01,24.39,63.14,10.05,7.21,10.1,2.97,8.37,46.21,36.89,46.52,98.23,2.82,9.95,6.84,10.55,11.23,6.89,39.06,63.96,4.82,102.31,146.5,78.73,7.09,34.0
2020-01-14,8.12,27.17,29.39,58.25,15.88,24.3,63.21,10.23,7.21,10.37,2.97,8.39,46.37,36.73,46.19,97.65,2.82,9.95,6.82,10.45,11.18,6.91,39.14,63.96,4.85,102.31,146.5,78.13,7.14,34.0
2020-01-15,8.12,27.08,29.28,57.73,15.81,24.18,62.55,10.05,7.18,10.49,2.93,8.37,46.12,36.54,45.94,97.9,2.86,9.95,6.82,10.35,11.15,6.92,38.97,63.74,4.85,102.22,146.0,78.0,7.27,33.8
2020-01-16,8.29,27.08,30.88,57.65,16.65,24.64,62.09,9.96,7.35,10.49,2.97,8.58,46.04,37.11,46.44,98.06,2.98,9.95,7.06,10.55,11.32,7.03,39.27,63.66,4.91,102.31,146.3,78.4,7.36,33.7
2020-01-17,8.32,27.36,31.16,57.47,16.95,24.6,62.02,10.41,7.41,10.61,3.01,8.62,45.64,37.18,47.02,97.9,2.98,9.95,7.21,10.7,11.44,7.05,41.1,64.77,4.93,102.31,148.4,78.46,7.43,33.15
2020-01-18,8.39,27.39,31.083333333333332,57.5,16.926666666666666,24.586666666666666,61.89,10.41,7.376666666666667,10.59,3.023333333333333,8.6,45.29,37.43666666666667,46.906666666666666,98.10666666666667,2.94,9.95,7.18,10.716666666666667,11.416666666666666,7.006666666666667,41.14333333333333,64.39999999999999,4.93,102.25,148.33333333333334,78.59333333333333,7.466666666666667,32.916666666666664
2020-01-19,8.459999999999999,27.419999999999998,31.006666666666668,57.53,16.903333333333332,24.573333333333334,61.760000000000005,10.41,7.343333333333333,10.57,3.0366666666666666,8.58,44.940000000000005,37.693333333333335,46.79333333333334,98.31333333333333,2.9,9.95,7.15,10.733333333333333,11.393333333333333,6.963333333333333,41.18666666666667,64.03,4.93,102.19,148.26666666666665,78.72666666666666,7.503333333333333,32.68333333333334
2020-01-20,8.53,27.45,30.93,57.56,16.88,24.56,61.63,10.41,7.31,10.55,3.05,8.56,44.59,37.95,46.68,98.52,2.86,9.95,7.12,10.75,11.37,6.92,41.23,63.66,4.93,102.13,148.2,78.86,7.54,32.45
2020-01-21,8.53,27.45,31.11,57.3,17.22,24.56,62.48,10.5,7.45,10.76,3.05,8.75,44.43,38.55,47.18,98.52,2.94,9.95,7.19,11.05,11.66,6.87,41.14,64.48,4.96,102.22,147.2,80.64,7.91,32.7
2020-01-22,8.5,27.36,31.85,58.25,17.18,23.92,62.81,10.85,7.44,10.92,3.09,8.75,44.18,38.43,47.76,98.52,2.98,9.95,7.17,10.95,11.76,6.86,41.32,65.95,4.96,102.13,147.0,80.64,7.98,32.8
2020-01-23,8.48625,27.34875,31.785,58.1425,17.14625,23.8825,62.67875,10.81625,7.42875,10.895,3.09,8.72625,44.01875,38.31,47.6675,98.28,2.98875,9.95,7.14875,10.931249999999999,11.7325,6.85375,41.17875,65.79375,4.95375,102.13,146.75,80.4675,7.9625,32.7125
2020-01-24,8.4725,27.3375,31.72,58.035,17.1125,23.845000000000002,62.5475,10.782499999999999,7.4175,10.870000000000001,3.09,8.7025,43.8575,38.19,47.575,98.03999999999999,2.9975,9.95,7.1274999999999995,10.9125,11.705,6.8475,41.0375,65.6375,4.9475,102.13,146.5,80.295,7.945,32.625
2020-01-25,8.45875,27.326249999999998,31.655,57.9275,17.07875,23.8075,62.41625,10.74875,7.40625,10.845,3.09,8.67875,43.69625,38.07,47.4825,97.8,3.00625,9.95,7.10625,10.89375,11.6775,6.8412500000000005,40.89625,65.48125,4.94125,102.13,146.25,80.1225,7.9275,32.5375
2020-01-26,8.445,27.314999999999998,31.59,57.82,17.045,23.770000000000003,62.285,10.715,7.395,10.82,3.09,8.655000000000001,43.535,37.95,47.39,97.56,3.0149999999999997,9.95,7.085,10.875,11.649999999999999,6.835,40.754999999999995,65.325,4.9350000000000005,102.13,146.0,79.95,7.91,32.45
